Typ,Datum,Kommando
"System","2025-10-24 11:35:29","sudo apt updat"
"System","2025-10-24 11:35:29","sudo_root"
"System","2025-10-24 11:35:29","sudo apt updat"
"System","2025-10-24 11:35:29","sudo apt update"
"Övrigt","2025-10-24 11:35:29","reboot"
"Övrigt","2025-10-24 11:35:29","uname -a"
"Övrigt","2025-10-24 11:35:29","whoami"
"Filsystem","2025-10-24 11:35:29","ls -1"
"Text & Sökning","2025-10-24 11:35:29","grep"
"Text & Sökning","2025-10-24 11:35:29","grep root"
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/scripts"
"Filsystem","2025-10-24 11:35:29","cd ~/scripts"
"Skript","2025-10-24 11:35:29","nano create_doc.sh"
"Skript","2025-10-24 11:35:29","chmod +x create_doc.sh"
"Skript","2025-10-24 11:35:29","./create_doc.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/scripts"
"Skript","2025-10-24 11:35:29","nano create_doc.sh"
"Skript","2025-10-24 11:35:29","./create_doc.sh"
"Filsystem","2025-10-24 11:35:29","ls ~/scripts"
"Text & Sökning","2025-10-24 11:35:29","cat ~/scripts/loggrapport.txt"
"Filsystem","2025-10-24 11:35:29","ls ~/scripts"
"Filsystem","2025-10-24 11:35:29","ls ~/doc_templates"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/template_txt.txt"
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/doc_templates"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/template_txt.txt"
"Filsystem","2025-10-24 11:35:29","cd ~/scripts"
"Skript","2025-10-24 11:35:29","./create_doc.sh"
"Text & Sökning","2025-10-24 11:35:29","cat loggrapport.txt"
"Text & Sökning","2025-10-24 11:35:29","cat ~/doc_templates/template_txt.txt"
"Skript","2025-10-24 11:35:29","./create_doc.sh"
"Text & Sökning","2025-10-24 11:35:29","cat loggrapport.txt"
"Skript","2025-10-24 11:35:29","nano ~/scripts/create_doc.sh"
"Övrigt","2025-10-24 11:35:29","read -p "Ange filnamn (inkl. ändelse, t.ex. main.cpp): " filename"
"Övrigt","2025-10-24 11:35:29","read -p "Projekt/titel: " project"
"Övrigt","2025-10-24 11:35:29","read -p "Version: " version"
"Övrigt","2025-10-24 11:35:29","read -p "Syfte/beskrivning: " purpose"
"Övrigt","2025-10-24 11:35:29","timestamp=$(date "+%Y-%m-%d %H:%M:%S")"
"Övrigt","2025-10-24 11:35:29","user=$(whoami)"
"Övrigt","2025-10-24 11:35:29","host=$(hostname)"
"Övrigt","2025-10-24 11:35:29","if [ -z "$filename" ]; then   filename="untitled.txt"; fi"
"Övrigt","2025-10-24 11:35:29","case "$filename" in   *.txt)   doc_type="Text";     template="template_txt.txt";;   *.md)    doc_type="Markdown"; template="template_md.txt";;   *.html)  doc_type="HTML";     template="template_html.txt";;   *.cpp)   doc_type="C++";      template="template_cpp.txt";;   *.py)    doc_type="Python";   template="template_py.txt";;   *.sh)    doc_type="Shell";    template="template_sh.txt";;   *)       doc_type="Okänd";    template="template_txt.txt";; esac"
"Övrigt","2025-10-24 11:35:29","template_path="$HOME/doc_templates/$template""
"Övrigt","2025-10-24 11:35:29","if [ -f "$template_path" ]; then   content=$(cat "$template_path");   content="${content//\[FILNAMN\]/$filename}";   content="${content//\[DATUM\]/$timestamp}";   content="${content//\[USER\]/$user}";   content="${content//\[PROJEKT\]/$project}";   content="${content//\[VERSION\]/$version}";   content="${content//\[SYFTE\]/$purpose}"; else   content="⚠ Mallfil saknas: $template_path"; fi"
"Övrigt","2025-10-24 11:35:29","echo "$content" > "$filename""
"Övrigt","2025-10-24 11:35:29","echo -e "\e[32m✔ Fil skapad med mallinnehåll: $filename\e[0m""
"Text & Sökning","2025-10-24 11:35:29","cat <<EOF >> ~/doc_log.md"
"Övrigt","2025-10-24 11:35:29","- 📄 Fil: $filename"
"Övrigt","2025-10-24 11:35:29","- 📦 Projekt: $project"
"Övrigt","2025-10-24 11:35:29","- 🔖 Version: $version"
"Övrigt","2025-10-24 11:35:29","- 👤 Användare: $user@$host"
"Övrigt","2025-10-24 11:35:29","- 🎯 Syfte: $purpose"
"Övrigt","2025-10-24 11:35:29","---"
"Övrigt","2025-10-24 11:35:29","EOF"
"Text & Sökning","2025-10-24 11:35:29","cat <<EOF >> ~/doc_log.html"
"Övrigt","2025-10-24 11:35:29","  <li><strong>Fil:</strong> $filename</li>"
"Övrigt","2025-10-24 11:35:29","  <li><strong>Projekt:</strong> $project</li>"
"Övrigt","2025-10-24 11:35:29","  <li><strong>Version:</strong> $version</li>"
"Övrigt","2025-10-24 11:35:29","  <li><strong>Användare:</strong> $user@$host</li>"
"Övrigt","2025-10-24 11:35:29","  <li><strong>Syfte:</strong> $purpose</li>"
"Övrigt","2025-10-24 11:35:29","EOF"
"Övrigt","2025-10-24 11:35:29","echo -e "\e[33m⚠ Metadata loggad i ~/doc_log.md och ~/doc_log.html\e[0m""
"Övrigt","2025-10-24 11:35:29","read -p "Vill du öppna filen nu i terminalen? (j/n): " open_now"
"Övrigt","2025-10-24 11:35:29","if [[ "$open_now" == "j" ]]; then   nano "$filename""
"Övrigt","2025-10-24 11:35:29","rm "nano ~/scripts/create_doc.sh""
"Filsystem","2025-10-24 11:35:29","ls -l"
"Skript","2025-10-24 11:35:29","~/scripts/create_doc.sh"
"Text & Sökning","2025-10-24 11:35:29","cat rapport.md"
"Övrigt","2025-10-24 11:35:29","1"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/template_md.txt"
"Skript","2025-10-24 11:35:29","~/scripts/create_doc.sh"
"Filsystem","2025-10-24 11:35:29","ls -l"
"Text & Sökning","2025-10-24 11:35:29","cat rapport.md"
"Övrigt","2025-10-24 11:35:29","exit"
"Filsystem","2025-10-24 11:35:29","ls -l /home/kate/doc_templates/"
"Filsystem","2025-10-24 11:35:29","pwd"
"Övrigt","2025-10-24 11:35:29","echo "Söker mallfil i: $MALLFIL""
"Övrigt","2025-10-24 11:35:29","exit"
"Övrigt","2025-10-24 11:35:29","whoami"
"Övrigt","2025-10-24 11:35:29","date"
"Filsystem","2025-10-24 11:35:29","ls -l /etc"
"Text & Sökning","2025-10-24 11:35:29","grep "root" /etc/passwd"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd"
"Filsystem","2025-10-24 11:35:29","cd /"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd home"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd ~"
"Filsystem","2025-10-24 11:35:29","pwd"
"Övrigt","2025-10-24 11:35:29","mkdir dir1 dir2 dir3"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","rmdir dir3"
"Filsystem","2025-10-24 11:35:29","ls"
"Filsystem","2025-10-24 11:35:29","ls -l"
"Övrigt","2025-10-24 11:35:29","touch testfile"
"Filsystem","2025-10-24 11:35:29","ls -l testfile"
"System","2025-10-24 11:35:29","sudo chown annanuser testfile"
"System","2025-10-24 11:35:29","sudo chown root testfile"
"Filsystem","2025-10-24 11:35:29","ls -l testfile"
"Övrigt","2025-10-24 11:35:29","touch file1"
"Övrigt","2025-10-24 11:35:29","cp file1 file2"
"Övrigt","2025-10-24 11:35:29","mv file2 renamed_file"
"Övrigt","2025-10-24 11:35:29","rm file1"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","cp file1 file2"
"Övrigt","2025-10-24 11:35:29","mv file2"
"System","2025-10-24 11:35:29","sudo chown root testfile"
"Filsystem","2025-10-24 11:35:29","ls -l testfile"
"Övrigt","2025-10-24 11:35:29","rm file1"
"Text & Sökning","2025-10-24 11:35:29","cat /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","head /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","tail /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","grep "bash" /etc/passwd"
"System","2025-10-24 11:35:29","sudo apt update"
"Övrigt","2025-10-24 11:35:29","su - annanuser"
"Övrigt","2025-10-24 11:35:29","shutdown -h now"
"Nätverk","2025-10-24 11:35:29","ip a"
"Nätverk","2025-10-24 11:35:29","ping -c 4 google.com"
"System","2025-10-24 11:35:29","sudo tcpdump -i any port 80 -w http_log.pc"
"Filsystem","2025-10-24 11:35:29","ls -lh http_log.pcap"
"System","2025-10-24 11:35:29","sudo tcpdump -i any port 443 -w https_log.pcap"
"Filsystem","2025-10-24 11:35:29","ls -lh https_log.pcap"
"Övrigt","2025-10-24 11:35:29","scp linux_assignment_submission.zip username@vm-ip-address:~"
"Filsystem","2025-10-24 11:35:29","cd /mnt/hgfs/shared"
"Filsystem","2025-10-24 11:35:29","cd /media/shared"
"Övrigt","2025-10-24 11:35:29","vmware-toolbox-cmd -v"
"System","2025-10-24 11:35:29","sudo apt update"
"System","2025-10-24 11:35:29","sudo apt install open-vm-tools open-vm-tools-desktop -y"
"System","2025-10-24 11:35:29","sudo reboot"
"Filsystem","2025-10-24 11:35:29","pwd"
"Skript","2025-10-24 11:35:29","generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls"
"Filsystem","2025-10-24 11:35:29","find . -type f -name "*.sh""
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/doc_templates/reports"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/reports/status_report.md"
"Filsystem","2025-10-24 11:35:29","cd ~/doc_templates/reports"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.pdf"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.html"
"Övrigt","2025-10-24 11:35:29","cp status_report.md ~/doc_templates/exports/status_report_$(date +%Y%m%d_%H%M%S).md"
"Övrigt","2025-10-24 11:35:29","xdg-open status_report.pdf &"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/reports/status_report.md"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.pdf"
"Övrigt","2025-10-24 11:35:29","sed -i 's/[📊📈📉📝✅⚠️❌]//g' status_report.md"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.pdf"
"Filsystem","2025-10-24 11:35:29","ls -lh status_report.pdf"
"Övrigt","2025-10-24 11:35:29","xdg-open status_report.pdf &"
"Övrigt","2025-10-24 11:35:29","timestamp=$(date +%Y%m%d_%H%M%S)"
"Övrigt","2025-10-24 11:35:29","cp status_report.pdf ~/doc_templates/exports/status_report_$timestamp.pdf"
"Filsystem","2025-10-24 11:35:29","ls -lh export.sh"
"Skript","2025-10-24 11:35:29","chmod +x export.sh"
"Skript","2025-10-24 11:35:29","./docs-engine/export.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Skript","2025-10-24 11:35:29","./docs-engine/export.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh export.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Skript","2025-10-24 11:35:29","export.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Filsystem","2025-10-24 11:35:29","cd"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Filsystem","2025-10-24 11:35:29","ls"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 11:35:29","mkdir -p "$HOME/screenshots""
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Skript","2025-10-24 11:35:29","export.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Skript","2025-10-24 11:35:29","./export.sh"
"Skript","2025-10-24 11:35:29","rapport.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Övrigt","2025-10-24 11:35:29","README.md"
"Filsystem","2025-10-24 11:35:29","cd"
"Övrigt","2025-10-24 11:35:29","README.md"
"Skript","2025-10-24 11:35:29","rapport.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","find $HOME -type f -name "*.sh" | sort | uniq -d"
"Filsystem","2025-10-24 11:35:29","find $HOME -type f -name "*.sh" -exec md5sum {} + | sort | uniq -w32 -d"
"System","2025-10-24 11:35:29","sudo apt install fdupes   # Ubuntu/Debian"
"Övrigt","2025-10-24 11:35:29","fdupes -r $HOME"
